Nombre,Ultimo,Maximo,Minimo,Var,Porc_Var
B Riley Principal A,"15,99","16,47","15,92","-0,14","-0,87%"
B&G Foods,"14,04","14,68","13,96","-0,39","-2,70%"
Babcock & Wilcox Enterprises,"6,260","6,460","6,240","-0,120","-1,88%"
Babylon Holdings,"11,130","11,320","10,600","+0,440","+4,12%"
Badger Meter,"115,95","118,28","115,11","-0,47","-0,40%"
Bakkt Holdings,"1,81","2,00","1,78","-0,19","-9,50%"
Ball,"56,81","57,60","56,41","-0,15","-0,26%"
Bally's,"19,67","21,18","19,67","-0,74","-3,63%"
Banc of California,"16,95","17,29","16,87","-0,26","-1,51%"
Banco Bradesco,"2,870","2,940","2,850","0,000","0,00%"
Banco Bradesco S/A ADR,"2,530","2,620","2,520","-0,060","-2,32%"
Banco De Chile,"20,31","20,57","20,21","-0,10","-0,49%"
Banco Macro B ADR,"20,92","23,15","20,83","-1,25","-5,64%"
Banco Santander Brasil ADR,"5,670","5,820","5,640","0,000","0,00%"
BanColombia ADR,"29,05","29,69","28,92","-0,09","-0,31%"
Bank of America,"33,72","34,34","33,51","-0,80","-2,32%"
Bank of Hawaii,"77,37","79,69","77,29","-2,85","-3,55%"
Bank of Montreal,"97,27","99,49","97,27","-1,32","-1,34%"
Bank of N.T. Butterfield Son,"30,43","31,28","30,22","-0,96","-3,06%"
Bank of Nova Scotia,"51,26","52,55","51,26","-0,75","-1,44%"
Bank of NY Mellon,"49,23","49,95","49,18","-0,45","-0,91%"
BankUnited,"33,97","35,22","33,92","-1,09","-3,11%"
Barclays ADR,"9,010","9,175","9,000","0,000","0,00%"
Barnes,"42,93","43,88","42,92","-0,72","-1,65%"
Barnes & Noble Education Inc,"2,000","2,090","1,990","-0,030","-1,48%"
Barrick Gold,"18,38","19,06","18,38","-0,37","-1,97%"
Bath & Body Works,"45,53","47,17","45,39","-0,35","-0,76%"
Bausch + Lomb,"16,77","17,34","16,61","-0,29","-1,70%"
Bausch Health,"7,89","7,97","7,69","+0,15","+1,94%"
Baxter,"44,00","44,98","43,92","-0,74","-1,65%"
BBVA ADR,"6,880","7,015","6,870","-0,050","-0,72%"
BBVA Banco Frances ADR,"4,470","5,110","4,440","-0,450","-9,15%"
BCE Inc,"46,32","47,17","46,22","-0,68","-1,45%"
Beachbody,"0,638","0,700","0,630","-0,029","-4,36%"
Beazer Homes USA,"14,49","14,97","14,44","+0,10","+0,69%"
Becton Dickinson,"253,57","255,79","253,15","-2,43","-0,95%"
Belden,"78,00","80,53","77,94","-2,36","-2,94%"
Bellring,"26,87","27,27","26,60","-0,01","-0,04%"
Benchmark Electronics,"28,62","29,46","28,52","+0,08","+0,28%"
Benson Hill,"2,440","2,580","2,430","-0,110","-4,31%"
Berkshire Hathaway A,466.260,479.229,465.831,-9.740,"-2,05%"
Berkshire Hathaway B,"308,30","315,54","307,75","-6,56","-2,08%"
Berkshire Hills Bancorp,"28,58","30,09","28,53","-1,66","-5,49%"
Berry Global,"59,87","61,19","59,83","-1,03","-1,69%"
BEST,"0,7253","0,7820","0,7025","-0,0147","-1,99%"
Best Buy,"82,96","86,44","82,85","-1,46","-1,73%"
BG Staffing Inc,"15,85","15,98","15,82","-0,10","-0,63%"
BHP Group Ltd ADR,"68,06","70,00","68,05","+0,30","+0,44%"
Big Lots,"17,10","18,34","17,08","-0,32","-1,84%"
BigBearai Holdings,"1,930","2,070","1,890","+0,070","+3,76%"
Biglari,"147,58","148,97","146,51","+0,50","+0,34%"
Biglari A,"724,39","724,39","724,39","-2,61","-0,36%"
Bill Com,"103,58","109,54","103,22","-2,97","-2,79%"
Bio-Rad Labs,"452,36","464,23","451,28","-2,56","-0,56%"
Bio-Rad Labs B,"453,80","453,80","453,80","+49,14","+12,14%"
Biohaven Pharma,"16,83","17,50","16,01","-0,39","-2,26%"
Bird Global,"0,251","0,300","0,250","-0,011","-4,06%"
BIT Mining,"3,960","4,490","3,700","-0,400","-9,17%"
BJs Wholesale Club,"68,53","69,48","68,10","-0,55","-0,80%"
Black Hills,"70,52","71,75","70,49","-0,88","-1,23%"
Black Knight,"58,51","60,26","58,49","-1,34","-2,24%"
BlackBerry,"4,16","4,35","4,07","+0,08","+1,96%"
BlackRock,"747,36","763,06","746,38","-2,37","-0,32%"
Blacksky Technology,"1,790","1,915","1,760","-0,070","-3,76%"
Blackstone Group,"83,99","87,67","83,93","-1,89","-2,20%"
Blackstone Mortgage,"23,37","23,85","23,23","-0,28","-1,18%"
Blend Labs,"1,61","1,85","1,58","-0,14","-8,00%"
Block,"72,11","76,22","72,07","-2,99","-3,98%"
Bloom Energy,"23,81","24,73","23,63","-0,11","-0,46%"
Blue Apron,"0,900","1,050","0,841","-0,130","-12,61%"
Blue Owl Capital,"12,54","12,82","12,49","0,00","0,00%"
Bluegreen Vacations Holding,"27,99","29,04","27,94","-0,65","-2,27%"
BlueLinx,"81,66","83,36","80,49","+0,90","+1,11%"
Boeing,"209,41","213,42","209,20","-2,00","-0,95%"
Boise Cascad Llc,"69,14","71,47","68,58","-0,36","-0,52%"
Boot Barn Holdings,"75,01","76,11","73,82","+1,02","+1,38%"
Booz Allen Hamilton,"94,15","94,90","93,63","-0,75","-0,79%"
Boqii,"1,900","2,070","1,880","-0,110","-5,48%"
BorgWarner,"43,85","44,82","43,60","-0,40","-0,90%"
Borr Drilling,"5,7300","6,1500","5,6600","-0,2700","-4,50%"
Boston Beer,"348,14","364,81","346,81","-11,21","-3,12%"
Boston Omaha,"26,85","27,94","26,85","-0,98","-3,52%"
Boston Properties,"71,13","72,91","70,22","-0,67","-0,93%"
Boston Scientific,"45,09","46,17","45,01","-0,95","-2,06%"
Bowlero,"14,100","14,300","13,850","-0,050","-0,35%"
Box Inc,"30,62","31,52","30,58","-0,31","-1,00%"
Boxed,"0,500","0,597","0,450","-0,087","-14,88%"
Boyd Gaming,"59,21","60,40","59,04","-0,22","-0,37%"
BP ADR,"35,34","36,23","35,33","-0,35","-0,98%"
BP Prudhoe Bay Royalty Trust,"11,870","12,470","11,740","+0,090","+0,76%"
Brady,"51,50","52,05","51,17","+0,11","+0,21%"
Braemar Hotel,"4,780","5,000","4,740","-0,140","-2,85%"
Brandywine,"6,43","6,60","6,36","-0,08","-1,23%"
Brasilagro Adr,"5,590","5,770","5,530","-0,180","-3,12%"
Braskem A,"8,77","9,12","8,75","-0,27","-2,99%"
Brazilian Electric Power DRC,"8,090","8,300","8,020","-0,060","-0,74%"
Brazilian Electric Power DRC,"8,770","8,770","8,390","+0,030","+0,34%"
BRC Inc.,"6,38","6,98","6,21","-0,44","-6,45%"
Bread Financial Holdings,"37,31","38,76","37,20","-1,19","-3,09%"
BRF ADR,"1,540","1,635","1,530","-0,030","-1,91%"
Bridge Investment Group Holdings,"14,55","14,70","14,49","+0,09","+0,62%"
Bright Health Group,"0,87","1,07","0,87","-0,17","-16,34%"
Bright Horizons,"75,33","77,31","75,16","-0,17","-0,23%"
Bright Scholar A,"2,510","2,550","2,420","-0,100","-3,83%"
Brightsphere Investment Group,"21,69","21,98","21,59","-0,04","-0,18%"
Brightspire Capital,"7,240","7,460","7,240","-0,080","-1,09%"
BrightView Holdings,"7,78","7,91","7,72","-0,02","-0,26%"
Brinker,"36,82","38,11","36,74","-0,43","-1,15%"
Brinks,"61,69","64,02","61,69","-2,23","-3,49%"
Bristol-Myers Squibb,"72,14","72,67","72,08","-0,17","-0,24%"
Bristow Inc,"28,37","29,58","28,17","-0,57","-1,97%"
British American Tobacco ADR,"37,94","38,55","37,91","-0,59","-1,53%"
Brixmor Property,"22,47","23,00","22,23","-0,35","-1,53%"
Broadmark Realty Capital,"4,21","4,32","4,18","+0,03","+0,72%"
Broadridge,"144,00","147,15","143,72","-1,14","-0,79%"
Broadstone Net,"17,51","17,93","17,42","-0,28","-1,57%"
Brookdale Senior Living,"2,450","2,588","2,420","-0,090","-3,54%"
Brookfield,"31,51","32,28","31,36","-0,35","-1,10%"
Brookfield Asset Management Reinsurance Partners,"35,60","36,40","35,60","-0,16","-0,43%"
Brookfield Business,"20,47","21,05","20,33","-0,31","-1,49%"
Brookfield Infra,"42,91","43,83","42,88","-0,41","-0,95%"
Brookfield Renewable,"31,30","31,77","31,18","-0,22","-0,70%"
Brown Forman,"66,69","68,32","66,67","-1,31","-1,93%"
Brown Forman A,"66,63","68,15","66,48","-1,41","-2,07%"
Brown&Brown,"60,63","61,48","60,48","-0,55","-0,90%"
BRT,"20,23","20,71","20,20","-0,31","-1,51%"
Brunswick,"76,58","80,06","76,58","-2,78","-3,50%"
Buckle,"44,25","45,08","44,04","-0,14","-0,32%"
Buenaventura Mining ADR,"8,040","8,315","7,910","+0,180","+2,29%"
Build-A-Bear Workshop,"22,55","23,66","22,25","-0,72","-3,09%"
Builders FirstSource,"71,69","73,18","71,25","-0,05","-0,07%"
Bunge,"97,89","102,31","97,76","-3,31","-3,27%"
Burford,"8,84","9,11","8,82","-0,08","-0,90%"
Burlington Stores,"226,49","233,01","225,45","-2,97","-1,29%"
Butterfly Network,"2,57","2,74","2,54","+0,04","+1,58%"
BWX Tech,"56,28","57,62","56,22","-0,91","-1,59%"
Byline Bancorp,"22,62","23,13","22,55","-0,45","-1,95%"
C3 Ai,"13,18","14,17","13,17","-0,15","-1,13%"
Cable One Inc,"765,2","780,7","756,1","-0,1","-0,01%"
Cabot Corp,"70,82","73,72","70,82","-1,18","-1,64%"
CACI,"287,13","290,61","286,37","-4,24","-1,46%"
Cactus,"52,77","56,34","52,72","-2,72","-4,90%"
Cadence Bancorp,"24,64","25,81","24,63","-1,25","-4,81%"
Cadre Holdings,"22,00","22,52","21,83","+0,15","+0,69%"
CAE Inc.,"21,15","21,85","21,14","-0,31","-1,44%"
Caleres,"22,47","23,53","22,44","-0,43","-1,88%"
California Resources,"45,49","47,67","45,45","-0,70","-1,52%"
California Water Service,"61,64","62,57","61,12","-0,89","-1,42%"
Calix,"59,55","63,36","59,52","-2,66","-4,28%"
Callaway Golf,"22,54","23,03","22,41","-0,26","-1,14%"
Callon Petroleum,"39,66","41,77","39,62","-0,83","-2,05%"
Camden Property,"115,26","118,05","115,18","-2,48","-2,11%"
Cameco,"24,61","25,68","24,60","-0,81","-3,19%"
Campbell Soup,"52,58","54,59","52,47","-2,08","-3,81%"
Camping World Holdings,"23,79","26,00","22,90","-2,01","-7,79%"
Canada Goose,"21,31","22,68","21,29","-0,70","-3,18%"
Canadian Imperial Bank,"43,25","44,39","43,16","-0,71","-1,62%"
Canadian National Railway,"122,86","125,26","122,82","-1,60","-1,29%"
Canadian Natural,"58,26","60,15","58,15","-0,18","-0,31%"
Canadian Pacific Railway,"78,31","80,80","78,29","-1,88","-2,34%"
Cango,"1,350","1,420","1,330","-0,060","-4,26%"
Cannae,"23,01","23,29","22,86","-0,19","-0,82%"
Cano Health,"1,35","1,48","1,35","-0,11","-7,53%"
Canon ADR,"21,88","22,19","21,87","-0,01","-0,05%"
Capital One Financial,"101,90","104,64","101,85","-1,73","-1,67%"
Capri Holdings,"63,36","64,62","63,24","0,00","0,00%"
Cardinal Health,"76,47","77,26","76,14","+0,05","+0,07%"
Carlisle,"237,01","242,60","236,93","-1,16","-0,49%"
CarMax,"63,41","68,78","63,35","-4,03","-5,98%"
Carnival ADS,"9,38","10,05","9,35","-0,37","-3,79%"
Carnival Corp,"10,43","11,17","10,34","-0,45","-4,14%"
Carpenter Technology,"43,48","44,69","43,09","-0,27","-0,62%"
Carriage Services,"30,11","30,90","30,06","-0,45","-1,47%"
Carrier Global,"43,52","45,65","43,39","-1,91","-4,20%"
Cars.com,"15,22","15,82","15,19","-0,15","-0,98%"
Carter’s,"80,39","83,14","80,36","-1,63","-1,99%"
Carvana,"6,98","8,30","6,89","-0,33","-4,51%"
Catalent Inc,"48,18","49,26","48,12","+0,22","+0,46%"
Caterpillar,"252,82","258,91","252,07","-3,44","-1,34%"
Cato,"9,99","10,20","9,95","-0,12","-1,19%"
Cazoo,"0,247","0,330","0,231","-0,053","-17,61%"
CBIZ,"46,56","48,63","46,49","-1,56","-3,24%"
CBL Associates Properties,"26,66","26,97","25,61","+0,61","+2,34%"
CBRE A,"83,61","85,52","83,30","-1,09","-1,29%"
Celanese,"118,68","122,00","118,22","-1,39","-1,16%"
Celestica Inc.,"12,790","13,210","12,780","-0,260","-1,99%"
Cementos Pacasmayo ADR,"5,400","5,440","5,380","-0,020","-0,37%"
Cemex ADR,"4,880","5,080","4,880","-0,110","-2,20%"
Cenovus Energy Inc,"18,530","19,720","18,430","-0,630","-3,29%"
Centene,"75,09","76,90","74,97","-1,65","-2,15%"
CenterPoint Energy,"30,39","31,20","30,32","-0,69","-2,22%"
Centerra Gold,"5,720","5,920","5,710","-0,100","-1,72%"
Centerspace,"62,93","63,81","62,47","-0,21","-0,33%"
Central Pacific Financial,"20,28","20,76","20,23","-0,56","-2,69%"
Central Puerto,"6,100","6,929","6,090","-0,620","-9,23%"
Century Communities,"57,75","59,51","57,54","+0,42","+0,73%"
Ceridian HCM,"67,65","69,32","67,12","-0,03","-0,04%"
Cervecerias ADR,"13,43","13,86","13,43","-0,30","-2,19%"
CF Industries,"84,63","87,38","84,15","-1,37","-1,59%"
CGI Inc,"86,41","87,97","86,41","-0,54","-0,62%"
Charah Solutions,"6,440","6,610","6,410","-0,040","-0,62%"
ChargePoint Holdings,"11,93","12,78","11,85","-0,13","-1,08%"
Charles River Laboratories,"234,53","241,88","234,46","-2,00","-0,85%"
Chart Industries,"129,45","134,95","129,05","-0,91","-0,70%"
Chatham Lodging,"12,74","13,08","12,67","-0,22","-1,70%"
Cheetah Mobile Inc,"2,290","2,525","2,290","-0,270","-10,55%"
Chegg Inc,"20,38","23,19","20,06","-4,06","-16,61%"
Chemed,"497,44","500,64","491,05","+1,44","+0,29%"
Chemours Co,"33,09","34,13","33,07","0,00","0,00%"
Cherry Hill Mortgage,"6,44","6,54","6,39","-0,02","-0,31%"
Chesapeake Utilities,"120,73","123,82","120,36","-2,23","-1,81%"
Chevron,"177,23","182,38","176,94","-3,26","-1,81%"
Chewy,"41,92","44,97","41,73","-2,00","-4,55%"
Chicos FAS,"4,390","4,750","4,370","-0,110","-2,44%"
Chimera Investment,"6,78","6,87","6,71","+0,09","+1,35%"
China Eastern Airlines,"20,61","20,90","20,61","-0,42","-1,98%"
China Green Agriculture,"4,282","4,358","4,230","+0,032","+0,75%"
China Southern Airlines ADR,"35,68","35,96","35,00","+0,38","+1,08%"
China Yuchai,"8,95","8,99","8,90","+0,04","+0,45%"
Chipotle Mexican Grill,"1.512,04","1.573,74","1.510,34","-39,50","-2,55%"
Choice Hotels,"120,66","124,00","120,66","-1,77","-1,45%"
Chubb,"220,57","224,94","220,54","-4,06","-1,81%"
Chunghwa Telecom,"37,84","37,92","37,70","-0,03","-0,08%"
Church&Dwight,"82,06","84,67","82,05","-2,66","-3,14%"
CI Financial Corp,"11,50","11,70","11,41","-0,01","-0,09%"
Ci T,"7,58","8,43","7,57","-0,85","-10,08%"
